Room,12:00 PM,1:00 PM,2:00 PM,3:00 PM,4:00 PM,5:00 PM,6:00 PM
201,,RPG Medley!,,,,,
205,Artist Alley,,,,,,
213,Tolkein Lore Presentations,Middle Earth Who-Would-Win,Tolkein Lore Presentations,Middle-Earth Trivia,Live Tolkein music,Lay of Leithian,
215,Board Game Club,,,,,,
219,CosClub Photobooth,,,,,,
221,,,Anime Music Quiz,,,,
223,,,Wizard Trivia,,,,
228,Podcast Group,,,,,,
229,,,,Minecraft Minigame Panel,Minecraft Speedrunning Competition,,
